,es31FD0_D1123_MD4,es31FD0_D1133_MD14,es31FD0_D1134_MD15,es31FD770_D3_D770.3,es31FD770_D4_D770.4,es31FD909_D1_D909.1,es31FD909_D2_D909.2,es31FD909_D3_D909.3,es31FD909_D4_D909.4,es31FD909_D5_D909.5,es31FD909_D6_D909.6,es31FD909_D7_D909.7,es31FD910_D1_D910.1,es31FD910_D2_D910.2,es31FD916_D3_D916.3,es31FD918_D10_Det 10,es31FD918_D6_Det 6,es31FD918_D7_Det 7,es31FD918_D8_Det 8,es31FD918_D9_Det 9,ig13FD776_D1_Det 1,ig13FD776_D2_Det 2,ig13FD926_D1_D926.1,ig13FD926_D2_D926.2,ig13FD926_D7_D926.7,ig13FD926_D8_D926.8
10,358.6666666666667,344.6666666666667,205.33333333333334,1038.6666666666667,1303.6666666666667,105.0,499.0,439.3333333333333,118.66666666666667,681.3333333333335,1104.5714333333333,189.66666666666666,366.66666666666663,627.0000000000001,148.0,323.3333333333333,564.0000000000001,611.6666666666666,260.0,594.6666666666667,30.0,66.66666666666667,0.0,0.0,0.0,0.0
11,414.33333333333337,295.0,143.66666666666666,827.9999999999999,1017.0,94.0,494.66666666666663,410.33333333333337,92.33333333333334,1002.6666666666667,710.9999999999999,139.0,369.3333333333333,565.6666666666666,156.0,328.33333333333337,490.66666666666663,528.0,253.00000000000003,602.0,36.66666666666667,146.66666666666666,3.3333333333333335,0.0,113.33333333333333,80.0
12,416.3333333333333,282.00000000000006,164.33333333333337,869.3333333333333,1092.9999999999998,85.33333333333334,187.33333333333334,405.3333333333333,84.33333333333333,776.6666666666666,817.0,124.33333333333334,355.3333333333333,517.0,136.00000000000003,266.6666666666667,485.6666666666667,553.0,247.66666666666666,544.3333333333334,6.666666666666667,73.33333333333333,13.333333333333334,3.3333333333333335,86.66666666666667,70.0
13,341.6666666666667,271.3333333333333,144.00000000000003,797.6666666666666,998.9999999999999,79.66666666666667,0.0,361.3333333333333,79.0,898.9999999999999,869.0,149.33333333333331,371.6666666666667,525.6666666666667,172.00000000000003,344.0,487.6666666666667,502.0,264.99999999999994,591.6666666666667,36.66666666666667,163.33333333333331,46.666666666666664,30.693512250000005,616.59955,489.9328866666667
14,347.6666666666667,288.6666666666666,181.66666666666666,825.6666666666669,1063.0,95.0,0.0,383.0,94.66666666666667,1013.0,810.0,128.66666666666669,355.3333333333333,534.3333333333333,133.66666666666669,289.6666666666667,501.6666666666667,546.6666666666667,296.3333333333333,659.0,40.0627635,130.9176283333333,16.666666666666668,6.666666666666667,230.0,140.0
15,405.33333333333337,314.3333333333333,200.33333333333337,988.0000000000001,1253.0,98.66666666666666,0.0,462.66666666666663,108.0,741.9999999999999,747.0,162.99999999999997,427.6666666666667,638.6666666666667,151.33333333333331,436.0,585.3333333333334,579.6666666666666,313.3333333333333,718.6666666666666,69.53606083333334,111.05742000000001,35.812325,24.187675,486.70868333333334,383.3333333333333
16,482.33333333333337,400.6666666666667,205.66666666666669,1089.6666666666665,1267.6666666666667,133.66666666666666,5.0,473.66666666666663,123.00000000000001,821.9999999999999,1030.4761833333332,176.99999999999997,419.3333333333333,746.3333333333334,127.66666666666667,157.0,555.6666666666667,594.6666666666667,252.00000000000003,640.6666666666666,89.99999999999999,186.66666666666669,6.666666666666667,23.333333333333336,270.0,206.66666666666669
17,455.0,461.6666666666667,169.33333333333334,1109.666666666667,1259.3333333333333,117.0,13.333333333333334,430.6666666666667,108.0,704.3333333333334,634.6666666666667,194.33333333333334,490.99999999999994,632.3333333333333,134.0,331.33333333333337,515.0,518.0,202.66666666666669,326.33333333333337,93.33333333333333,243.33333333333331,0.0,0.0,0.0,0.0
18,450.0,392.99999999999994,159.33333333333334,1033.3333333333333,1252.6666666666667,91.66666666666669,1.3333333333333333,378.3333333333333,92.0,747.0000000000001,568.6666666666666,197.33333333333334,378.33333333333337,541.3333333333334,140.0,396.6666666666666,496.33333333333337,533.0,178.66666666666663,512.6666666666666,3.3333333333333335,56.666666666666664,0.0,0.0,0.0,0.0
19,375.33333333333337,219.0,126.33333333333331,679.0,881.6666666666666,80.00000000000001,38.0952375,331.3333333333333,72.99999999999999,570.6666666666666,443.0,104.33333333333334,293.99999999999994,359.66666666666663,102.66666666666667,352.99999999999994,433.66666666666663,454.6666666666667,161.33333333333331,499.33333333333337,10.0,110.0,0.0,0.0,0.0,0.0
20,268.0,128.00000000000003,94.99999999999999,539.3333333333333,496.99999999999994,47.333333333333336,323.66666666666663,241.66666666666666,54.33333333333333,475.6666666666667,357.33333333333326,76.33333333333334,197.33333333333334,259.6666666666667,78.66666666666666,186.33333333333331,332.0,312.3333333333333,144.33333333333331,380.33333333333337,37.7810525,127.83171250000001,0.0,0.0,0.0,0.0
21,229.66666666666669,120.33333333333333,54.33333333333333,403.3333333333333,420.99999999999994,34.99999999999999,241.66666666666669,145.66666666666666,32.0,303.3333333333333,169.33333333333334,52.666666666666664,137.66666666666666,121.99999999999999,46.33333333333334,127.99999999999999,239.0,213.33333333333331,94.0,268.33333333333337,19.102258833333334,74.19444416666667,0.0,0.0,0.0,0.0
22,166.66666666666666,70.66666666666667,38.33333333333333,274.33333333333337,281.0,30.0,141.33333333333334,78.33333333333334,26.0,194.0,99.66666666666667,44.33333333333333,87.33333333333333,54.0,46.33333333333332,47.0,173.66666666666669,141.0,68.66666666666667,174.0,17.521008333333334,48.37535,22.521008333333334,4.14565825,272.4245833333334,211.48979999999995
23,88.66666666666666,35.0,25.666666666666668,120.66666666666666,150.33333333333334,27.333333333333336,71.66666666666666,35.0,21.666666666666664,107.66666666666667,66.66666666666667,20.0,49.66666666666667,26.333333333333332,36.0,20.666666666666668,85.66666666666667,78.66666666666666,42.333333333333336,74.66666666666667,1.6666666666666667,1.6666666666666667,5.28345825,16.593406666666667,142.55367166666667,124.64328
