name,node_type,lat,lon,Monday_mean,Monday_std,Tuesday_mean,Tuesday_std,Wednesday_mean,Wednesday_std,Thursday_mean,Thursday_std,Friday_mean,Friday_std
Somfa Cukrászda,store,47.4699515,19.1160128,16.0,25.04329584273337,18.416666666666668,30.26813047121051,17.833333333333332,29.971745954407723,18.416666666666668,29.677315504532338,20.958333333333332,34.055688666587784
Albertfalva vasútállomás,transit_station,47.441603,19.034191,27.0,18.544990338812976,30.75,21.53920843485201,27.75,30.833220720515072,27.25,21.93028727582017,28.416666666666668,21.043440519289828
Balkán Pékség,bakery,47.5064641,19.085414800000002,30.958333333333332,27.287785983639072,35.625,29.15449150645574,40.416666666666664,32.81376320319807,37.5,31.80277765646684,36.166666666666664,30.709209621147135
Árpád lookout,tourist_attraction,47.53518029999999,18.999806799999998,18.541666666666668,18.621177833018216,15.958333333333334,16.998723399779827,16.958333333333332,16.609432979150398,16.5,16.532795690182994,20.375,14.539636916603753
Pálmai Virág Kft.,florist,47.513886600000006,19.1375601,26.291666666666668,31.12003530239357,31.375,36.99753651708899,16.791666666666668,23.169626609469177,14.541666666666666,19.60012577907488,21.541666666666668,29.080318611658225
Unit-B Faipari Kft. - Egyedi bútorgyártás,furniture_store,47.5575537,19.1249247,26.541666666666668,35.108141466363925,24.083333333333332,32.55369496010485,26.375,35.22879090081482,25.833333333333332,34.698302872362824,16.458333333333332,22.051037705488802
Jardin Gyógyszertár,pharmacy,47.534672,19.0418066,17.083333333333332,28.51303308235649,20.833333333333332,28.50389836885864,21.25,33.15525348015505,21.041666666666668,28.194974680290496,19.166666666666668,25.665584392766554
Peak Gym Gold,gym,47.42800020000001,19.2205634,25.041666666666668,27.011539457959234,22.458333333333332,22.512920672854115,22.708333333333332,29.613452977020803,19.083333333333332,19.037061806440146,18.5,19.63415391607186
Mr. Munkaruha Bolt,shoe_store,47.5263031,19.0782103,25.125,36.68936324059059,25.708333333333332,37.09501220589576,24.791666666666668,35.79103608292011,28.583333333333332,40.920570078574855,23.125,37.16327992790733
Tina Szépségszalon,beauty_salon,47.523954100000005,19.0669826,18.125,22.6169414746262,25.416666666666668,30.728538129165134,17.541666666666668,18.330255423449202,23.958333333333332,26.39835721951063,14.5,16.61826304601858
IvoDent Magyarország Kft.,dentist,47.5337634,19.0379169,14.208333333333334,20.30389775114347,20.083333333333332,28.66024637406703,19.625,27.99972098075265,25.625,37.56418118811234,25.416666666666668,36.11315165174901
Mentes car dealer and service,car_dealer,47.46201920000001,19.1387559,26.041666666666668,33.26344235376462,27.791666666666668,34.377777665553396,29.875,36.52432123485208,29.833333333333332,36.82579108300172,18.375,22.573606453850775
Kis Kapucinus söröző és étterem,restaurant,47.496284,19.106987,7.5,12.938959257477652,14.916666666666666,25.20568167871857,13.875,24.043905152865662,19.083333333333332,32.94555694205552,12.166666666666666,20.274505063146563
Mirabell,home_goods_store,47.4856506,19.2135972,20.166666666666668,30.19197833126467,24.666666666666668,36.0909345342505,24.125,35.121589395508096,20.5,29.332859844663403,20.583333333333332,29.396593718018117
