,es31FD910_D1_D910.1,es31FD910_D2_D910.2
04.0400,32.0,19.333333333333336
04.0401,20.0,6.0
04.0402,14.0,8.0
04.0403,19.0,10.999999999999998
04.0404,41.0,31.333333333333332
04.0405,101.0,81.33333333333334
04.0406,369.6666666666667,649.6666666666666
04.0407,606.6666666666666,874.6666666666667
04.0408,496.0,681.6666666666669
04.0409,444.33333333333326,660.6666666666667
04.0410,411.66666666666663,501.6666666666667
04.0411,397.3333333333333,610.3333333333334
04.0412,423.6666666666667,606.6666666666667
04.0413,424.33333333333337,622.0
04.0414,414.99999999999994,662.3333333333334
04.0415,417.33333333333337,727.0000000000001
04.0416,521.3333333333333,574.6666666666667
04.0417,568.6666666666666,474.3333333333333
04.0418,492.3333333333334,526.0
04.0419,400.3333333333333,494.33333333333326
04.0420,247.33333333333331,286.33333333333326
04.0421,180.66666666666666,153.0
04.0422,133.0,71.0
04.0423,57.333333333333336,44.666666666666664
05.0400,33.666666666666664,21.33333333333333
05.0401,23.333333333333332,11.0
05.0402,27.666666666666668,6.0
05.0403,32.0,15.666666666666668
05.0404,41.66666666666667,26.333333333333332
05.0405,117.33333333333331,99.33333333333334
05.0406,357.33333333333337,579.0
05.0407,566.0,899.3333333333336
05.0408,456.33333333333326,706.3333333333333
05.0409,404.00000000000006,717.6666666666666
05.0410,364.66666666666663,633.6666666666666
05.0411,355.0,632.6666666666666
05.0412,370.6666666666667,584.6666666666666
05.0413,350.6666666666667,561.0
05.0414,365.0,606.9999999999999
05.0415,471.66666666666663,449.6666666666667
05.0416,444.66666666666663,445.99999999999994
05.0417,484.00000000000006,509.00000000000006
05.0418,427.66666666666674,505.00000000000006
05.0419,324.6666666666667,452.66666666666663
05.0420,244.33333333333334,301.3333333333333
05.0421,169.0,162.0
05.0422,137.66666666666666,111.00000000000001
05.0423,94.66666666666667,69.66666666666666
06.0400,62.66666666666666,32.666666666666664
06.0401,36.666666666666664,26.333333333333336
06.0402,27.666666666666668,11.0
06.0403,31.66666666666666,22.333333333333332
06.0404,37.33333333333333,24.666666666666668
06.0405,76.0,48.00000000000001
06.0406,121.33333333333333,97.33333333333333
06.0407,233.66666666666669,251.33333333333334
06.0408,316.6666666666667,369.6666666666667
06.0409,384.0,479.3333333333333
06.0410,379.3333333333333,485.6666666666667
06.0411,367.3333333333333,475.00000000000006
06.0412,340.66666666666663,476.0
06.0413,320.3333333333333,441.3333333333333
06.0414,365.6666666666667,456.6666666666667
06.0415,379.3333333333333,472.66666666666663
06.0416,390.6666666666667,462.0
06.0417,364.66666666666663,508.0
06.0418,397.33333333333337,468.0
06.0419,355.6666666666667,403.6666666666667
06.0420,283.3333333333333,340.0
06.0421,201.99999999999997,211.66666666666669
06.0422,137.33333333333334,98.33333333333333
06.0423,89.66666666666666,70.0
07.0400,48.0,38.00000000000001
07.0401,43.0,25.333333333333336
07.0402,31.333333333333332,11.999999999999998
07.0403,28.0,14.0
07.0404,28.666666666666664,12.0
07.0405,39.666666666666664,30.0
07.0406,101.66666666666666,57.33333333333334
07.0407,148.33333333333334,109.66666666666667
07.0408,219.66666666666669,197.66666666666666
07.0409,316.99999999999994,351.00000000000006
07.0410,344.3333333333333,400.3333333333333
07.0411,330.3333333333333,394.0
07.0412,326.6666666666667,400.3333333333333
07.0413,392.6666666666667,445.3333333333333
07.0414,400.33333333333326,482.00000000000006
07.0415,454.66666666666663,575.0
07.0416,388.0,619.3333333333334
07.0417,463.3333333333333,687.6666666666667
07.0418,452.3333333333333,655.0000000000001
07.0419,420.99999999999994,602.0000000000001
07.0420,298.6666666666667,361.66666666666663
07.0421,199.0,168.0
